# Created by Octave 3.0.1, Fri Sep 11 11:43:29 2009 PDT <jwawerla@marvin2>
# name: rate
# type: matrix
# rows: 6
# columns: 3
 0.00312518985282432 0.003219360574802528 0.002861990922409303
 0.01098016659646058 0.01074264468526581 0.01065236433300721
 0.01784993046214416 0.01745874000665385 0.01801138111742767
 0.03153568247190367 0.03089945711996151 0.03028108625794797
 0.05105187823339305 0.04808421558867362 0.04751704548501512
 0.06322416899906484 0.0632975517552524 0.06180925814311737
# name: collected
# type: matrix
# rows: 6
# columns: 3
 4.39 4.24 4.39
 17.83 17.23 17.12
 32.31 30.73 30.31
 63.66 62.81 59.66
 124.32 123.28 114.73
 165.56 161.24 166.87
# name: residentsTime
# type: matrix
# rows: 6
# columns: 3
 397.7010000000001 374.2030000000001 404.818
 636.1660000000002 618.359 612.7950000000003
 801.4270000000001 765.5390000000001 752.5839999999998
 1023.67 1019.274 972.0870000000004
 1439.415 1451.887 1358.614
 1618.026999999999 1591.277 1660.827999999999
# name: swtime
# type: matrix
# rows: 6
# columns: 3
 1007.013659505449 942.828721511989 1129.079248110199
 987.6709284622182 985.5291024923022 994.3599437106928
 1008.664085145823 994.6109299656347 930.2408651444216
 994.9956831263154 1013.44779689603 998.1197320765558
 995.7549546028116 1111.948106609059 1055.887971427938
 1000.591838666727 956.0569099030847 1038.929366665328
